worker_id,score
AS4NIEQJWCG3M,1
ALCPF5NANBDSZ,1
AI9QOT5C5DN1P,1
A35TUIBF05DKM4,1
A14H3LQYPOZ3MZ,1
A25EVN04BC2KJ6,1
A7WVKWZKY0IRD,1
A1S7WGRS6BVBGW,1
A49A0FF6ZXYDU,1
A1W845RVTAYPYN,1
ADXRJFEHIDXRE,1
AFRKVRPZ2RHY8,1
AOEO9ZV81R0I4,1
A2RRK8SV0VBLTJ,1
A28RR7H7BMA8IW,1
A2WDF40FA670T9,1
A5OBJUPZLVOKG,1
A12WRJ2ZMDW3SU,1
A23G1L7KYHK9F2,1
A1ATL3G98SFW4V,1
ADVCIFLB5A9B,1
A1VA9QXDZ3F0CW,1
A334BFWVFS4B41,1
A2KHMKJUVDMK1N,1
A2A95LW49NBG2E,1
A22KRF782ELLB0,1
A3DZCWB0J90PHT,1
A2U4JCTILX14EC,1
A1R0689JPSQ3OF,1
A29GJGXFU9BQQG,1
A3UE5B5KN7AY9W,1
A1IZ4NX41GKU4X,1
A5CIHEPULDFUF,1
A397HP5TSIF2LO,1
A2QPMJ4GADLUW2,1
A2H8GNSEVUJXYL,1
A2ZE2IPHK152KA,1
A1CRE2Z623JZ6V,1
A20ASMCESA51U4,1
A1X7PC5PH6JWIS,1
A2TM31UYSYYGNU,1
AJ4B5W7LPJEQO,1
A33B85TN97HQ33,1
A2JMEQ3KQFQCRM,1
AIIUR6K06BZDO,1
A37ALRG0BRLQQ3,1
AYXUD1M6PC1O4,1
AKWI425VATYJM,1
A3SGVL69ZBJ9CP,1
A2L2E6J3D23CN4,1
A1MMC6X3ZNJ9OT,1
A169WH54HMYS5Z,1
A1BWS5AD2T4NIR,1
A2Z0DI2L5GV87Y,1
A1J4N2SE30LCUH,1
AMLE1FC3SQVL8,1
A2FYFCD16Z3PCC,1
A3HSONMX6LNZR4,1
AETIZKQNUSBLB,1
A2VLREMQN7N1N6,1
A110JX7PI2TTSS,1
AK1GE19RT3PK6,1
A3MYQGYGHTZVCP,1
A8ZUM922CBH6S,1
A3OV174HQJIJK8,1
AV4584AQEQAEN,1
AEOVYZ83Q3GX4,1
A2MUOD1JHWJ735,1
AKSLU0C30G3JT,1
A74IW1OD4R9QS,1
A2H1QUGX0SOUMH,1
A2MDKRQELUHL2,1
AKNYT1NTK2UFK,1
A1C5J40P3I65EI,1
A2F1AA15HG0FRU,1
APWB9BS1SONNS,1
A2NZAL7KHOR6VF,1
A3HVFSD8K94SOR,1
A3SKAVLZCRR07H,1
A49MD40UT6ABO,1
ALDQRWYZ8KQ9A,1
A19LVWX8ZLO6CS,1
A1Z8VN97YAD6XB,1
A13HSR88OUNIVP,1
A13WYZ8AXD6ODX,1
A2ER0EVZ7E1Z8G,1
A3N7R7P9HP2YB6,1
A3G3TIX6FEMN8R,1
A346UAH34GVOZX,1
A1AXN8VOE1LBL3,1
AM7KUJM4MQOBM,1
AR9AU5FY1S3RO,1
A2B2HQHFBYLTXU,1
A3IJ7SO3Z5PGT1,1
A2U3723LKNMHAI,1
A2YRU381D269NA,1
A3CFNUD7VR2E1E,1
A1MTQP7TA5RCOB,1
A7EP5KKL8YQPX,1
AW5O1RK3W60FC,1
A14ADQ7RUN6TDY,1
A22QFNF1UTBK0H,1
A2FO6J0H70OW05,1
A2TXC8Q2IFGRXH,1
A3UC9N3EEE6733,1
A2HQMB1GSEADL,1
A23FK9ROU0IU4D,1
AVKMFV9CZ0MLR,1
A2TG7EEQ2XG2IK,1
A37W0GRXSM04LX,1
A2TKHXY755FAM,1
AZTYIBLLB60V8,1
AG6JSZQZOT8ZD,1
A1FNZWSR0C6I3G,1
A3PZFJZ8Q17O33,1
A2127GZJV2AID2,1
A3BTK49X4ITNXJ,1
A1IIF95II8FISQ,1
ABKPEX0E9W2HW,1
A2QD48WPH05Z6U,1
AL5MR5NR0VYFI,1
A1DWQO9X2ZQ35G,1
A83DI5Q5K6F1F,1
AZVWH7V65BL5W,1
A3I0ITCG0HKFFZ,1
A36ADZHZFFDEQA,1
A30N7QXF4W4VCM,1
A2ZW029G7AOF3B,1
AR149JH34I0RE,1
A2AS2Z9P0VV2NP,1
A2ZRL1ZWWXJ0L7,1
A3862RIFFUV141,1
A1FHKK0RU69RU,1
A261NEZSEFSRQI,1
A2I37S7GQR6X1H,1
ANWY0TG55MWW9,1
A36470UBRH28GO,1
A3TDA1NWHNQFE3,1
A1YPIJR0B4YDEW,1
A2ZPSPA0R8KSL8,1
ACGGIBC0P38HU,1
A5MYQ5YUEBFCA,1
A3IB7YJHP04OHI,1
ALF9AAZGQP4K5,1
A20FCMWP43CVIU,1
A2ZBDSR2LZNVAE,1
A3MS21UJPMHLK0,1
A11OGIKK5UL6QP,1
A3COKL7K5AYZGG,1
A3NG205QJ48IM4,1
A3OLRWACCCCUTU,1
A3774HPOUKYTX7,1
AFDQ9MCITLN0F,1
A1RC2ETLOSZGP0,1
A1W3PGRM5NNVW8,1
A1EN3FW93BSXQQ,1
A3K4JTRUZQD096,1
A3LJ5FJIXEEGXQ,1
A1BQI9JKLVCIL0,1
A2XS2OFYZKF9UW,1
A30AGR5KF8IEL,1
A2WNTI69VVVWMZ,1
AJMWITY1XT7H7,1
A2GO0EY5FW18AG,1
ALMXTU647ULDU,1
A35BY30TC8WCL4,1
A1TPGXT718D68E,1
AO71E3MTYDM8L,1
A2DK91OGZLWQ62,1
A2EED3HLTA96CP,1
AIZ4C8S4DW2WG,1
A3RWA3Z313T7FF,1
A3L2VS3998R77L,1
AOJD8D9NXVAR3,1
AE73DZ1B5ELB,1
A1VJ4ZOXP9PUCP,1
AF0M3066S5UF1,1
A26SF9CTNKKBYB,1
A18QKM5Z69TLS,1
A3I65SDKOXEG8Q,1
A3O5RKGH6VB19C,1
A371H3PQPR2Z8J,1
A2N9P0TY17HT1T,1
A38TZK07ON180S,1
