worker_id,score
A103A7PRZURWVQ,1
A11YS0T8MV3Q7C,1
A134WRBKDIZX0A,1
A14OQ52EFQAN2W,1
A16XDO6MW9ZKMI,1
A19Z68L0RHQVWL,1
A1BI90XZ0GR5G6,1
A1BZNPQ0H7ZSER,1
A1C6U6K4KW7PYL,1
A1FH0Y12VSXUMK,1
A1G5UODTVW13MM,1
A1H5Q9HRH4RPZU,1
A1H7XQCN2TQJM7,1
A1HMO9XPRPUPWJ,1
A1KAM5ZQ964VBE,1
A1MKEILXWWLBW2,1
A1NMCSVPHOTPYG,1
A1O57XVTTB1PNZ,1
A1OKFYVJTEK4BI,1
A1OZPLHNIU1519,1
A1QUXD1OWQ51UG,1
A1R2VTQSLGLMM9,1
A1T0ND039EWAVV,1
A1VMPZVVVZUCS4,1
A1YSYI926BBOHW,1
A212P9LUF0URRZ,1
A2223XYV804AY7,1
A22HIX1M4QXZBB,1
A23HZ18KTCK2DA,1
A259UZJQOOVE4V,1
A25F4VG7W3BTWV,1
A25FJAJGTWFMP,1
A260EJW55KFZX7,1
A28AXX4NCWPH1F,1
A28RL79ONUXTET,1
A2907V9QMK6SN4,1
A2BLQ1GVEHJR8T,1
A2F0X4LN9N4O4C,1
A2F7JYFQIVD7YW,1
A2FJYDSAE26ILV,1
A2G43KS55YGYQE,1
A2J572LV8P3S3,1
A2K0L9M1ZZO5C9,1
A2M03MZWZDXKAJ,1
A2OROMUVBD1NVC,1
A2VA74E0XFNEM1,1
A2VGEE0ZIZ8CBQ,1
A2VNR6984SDFGQ,1
A2WMSIPUKEIBNS,1
A2X9VV3B0FZKHY,1
A2YBRWIUM45CAJ,1
A31DI99CWPTJBK,1
A36QGCT3MMXC4Q,1
A37GOI3N77WX21,1
A384EFVY03N5KE,1
A39MKVROUZ1UWR,1
A3AY0315YWWNXY,1
A3BLJ6QSDTZC9U,1
A3CGQOJC28OVGN,1
A3D943YJI95XZY,1
A3DRYZ95VDUDK,1
A3FF0JJBUSBGAY,1
A3G8OON0TDPN1E,1
A3GO56JAHRU2Y1,1
A3HL2LL0LEPZT8,1
A3HQXCWOIQKT4F,1
A3I55L67X0MWC4,1
A3I5ZQI3WP7NS4,1
A3IX2J5AVF3LRG,1
A3J2UG22S8BIW4,1
A3KROAV2O4QIA3,1
A3L4JI1S352HB8,1
A3LVLZS8S41ZD7,1
A3O4WYGKH31OX,1
A3P74FP62XNVYI,1
A3PGS1Q1XAY79I,1
A3RHJEMZ4EGY2U,1
A3UV55HC87DO9C,1
A3V9JFVZQ2XF4Y,1
A5A14MTB35J23,1
A5P12YJP805RG,1
A70TBKPGWQZO4,1
AAKV691LBCW7Z,1
AC7QPNOH2LELF,1
ACY3ZOOZMVS7Y,1
ADE4283NU45C9,1
AERUGBNS48Z4N,1
AHYTT3T8W9Y9Y,1
AJQGWGESKQT4Y,1
AKVDK30EEV08C,1
AN45KLUESX3NY,1
AOOLS8280CL0Z,1
APRZ7BR8C0ZMQ,1
AQ0YWEW29GSIJ,1
ARR3UJTM2ZGK4,1
ASP32QB28TEZU,1
AT6LDQNLKTUSE,1
AURYD2FH3FUOQ,1
AVPKE76DJLWK6,1
AXY0D2AMLKE2A,1
