worker_id,score
A13C07AR7Z224T,1
A1618RA11ZOD8Y,1
A16QXWBUOKHU1I,1
A19L8SNH73AX1Z,1
A1BYJYBS2TILZ7,1
A1DDWUJ5R357SW,1
A1EYACDLY9MLIR,1
A1JSSZXLHOCG1Y,1
A1ODA3Q5H6HTDQ,1
A1PO4Z1B8661LE,1
A1WLSCW0N2KLCN,1
A23KAJRDVCVGOE,1
A2541C8MY0BYV3,1
A29NE2DUE7RJA1,1
A29ZF5UF1BQXBH,1
A2FX9HD3UPWO59,1
A2JLNOYPVW7W4V,1
A2M183CETUMR96,1
A2MCG5W6LHSRG9,1
A2V6E7SGEU0EFD,1
A30WNYLVREF25S,1
A332UTYT9HL19Y,1
A344BXT88DM2ZH,1
A345EWEZNXC483,1
A37JC45Y9GLSA7,1
A37XNJ7H522JHM,1
A39SK1E6IMQBD5,1
A3CGQOJC28OVGN,1
A3HM4LUQL1ASJ1,1
A3L95FSCN74FIF,1
A3LHGJS3FF6QR4,1
A3Q897SMMVA32T,1
A3R97T5D3RR9JX,1
A3S1RXAEZLSQ25,1
A3SRQAFRDSCY05,1
A3U48V7V1HP3EP,1
A3VN2MWUFG080L,1
A5P12YJP805RG,1
A6KJ4H7HK087Z,1
A9ERIPJJJ2RLP,1
ACKG8OU1KHKO2,1
ACLMG53WT52U6,1
AFYIL9DFX6BFO,1
AL84FSIS4UM1Q,1
AMELYCC59JKB0,1
ANB4KEJIENCM1,1
AOS2PVHT2HYTL,1
AP21O70VXNX10,1
AVEUOIZ1BBTDW,1
AYWHJVYLOA2B5,1
A002160837SWJFPIAI7L7,1
A11LNK1U3DT08V,1
A12HZGOZQD5YK7,1
A16XDO6MW9ZKMI,1
A1DUPOUC9RNU4L,1
A1GRPIBHW72HDU,1
A1HMO9XPRPUPWJ,1
A1O57XVTTB1PNZ,1
A1T9BJRS4IL8VQ,1
A1VMPZVVVZUCS4,1
A22HIX1M4QXZBB,1
A28AXX4NCWPH1F,1
A28RL79ONUXTET,1
A2CF2BD4Q0ZDJN,1
A2ELXYKRPPGRPB,1
A2G43KS55YGYQE,1
A2NAKIXS3DVGAA,1
A2OVX9UW5WANQE,1
A2R25RH05K0B68,1
A2RMJNF6IPI42F,1
A2TDK0LD62WZ8Y,1
A2VA74E0XFNEM1,1
A30MP4LXV4MIFD,1
A31TXJQH5S8SVQ,1
A3BLJ6QSDTZC9U,1
A3D943YJI95XZY,1
A3HQXCWOIQKT4F,1
A3KF6O09H04SP7,1
A3P74FP62XNVYI,1
A3RHJEMZ4EGY2U,1
A3UV55HC87DO9C,1
A3VL1CBZ3BGQK7,1
A5NE8TWS8ZV7B,1
ACJ6NSCIWMUZI,1
AERUGBNS48Z4N,1
AHYTT3T8W9Y9Y,1
AMUV60QYHNUR3,1
AMVBT3XDCQBHI,1
AOOLS8280CL0Z,1
APVZGZM1RA3AZ,1
ASP32QB28TEZU,1
AT6LDQNLKTUSE,1
AURYD2FH3FUOQ,1
AXY0D2AMLKE2A,1
AZ5ZYUCAQ0XDL,1
